2017 san antonio run climb
2017-1-30

200 # 42 people were in bonus range ( under 15:50 ) and added the max of 100 bonus to the 100 point base
178,Jacqueline Gonzales,,F4150,09:09:00 AM,12:25:00 PM,09:34:00 PM
375,Zachary Rabel,,M120,08:29:00 AM,01:06:00 PM,09:35:00 PM
158,Jonathan Garcia,,M2130,07:59:00 AM,01:38:00 PM,09:38:00 PM
144,Tom Fraser,,M5199,08:55:00 AM,12:48:00 PM,09:43:00 PM
156,Jennifer Garcia,,F2130,08:10:00 AM,01:34:00 PM,09:45:00 PM
378,Marissa Ramirez,,F3140,08:53:00 AM,12:52:00 PM,09:45:00 PM
397,Anabelle Rivera,,F3140,07:41:00 AM,02:04:00 PM,09:45:00 PM
485,Stephanie Tovar,,F2130,08:21:00 AM,01:25:00 PM,09:46:00 PM
263,Brenda Leos,,F3140,08:48:00 AM,12:59:00 PM,09:48:00 PM
345,Vincent Ortiz,,M4150,08:26:00 AM,01:22:00 PM,09:48:00 PM
NO,FN LN,,DIVISION,RUN,CLIMB,TIME
150,Irasema Galindo,,F3140,08:48:00 AM,01:01:00 PM,09:49:00 PM
468,Rita Stidham,,F5199,07:57:00 AM,01:53:00 PM,09:51:00 PM
59,Lori Caldwell,,F4150,09:03:00 AM,12:51:00 PM,09:55:00 PM
466,Donovan Stewart,,M5199,08:47:00 AM,01:09:00 PM,09:57:00 PM
2970,Claudia Ramirez,,F3140,08:40:00 AM,01:19:00 PM,09:59:00 PM
120,Andrew Espinosa,,M3140,07:41:00 AM,02:19:00 PM,10:00:00 PM
110,Sharon Dsouza,,F2130,08:50:00 AM,01:11:00 PM,10:01:00 PM
2965,Donald Xavier,,M3140,07:19:00 AM,02:52:00 PM,10:11:00 PM
447,Joe Silva,,M3140,07:14:00 AM,02:58:00 PM,10:13:00 PM
500,Dorota Waked,,F5199,08:38:00 AM,01:36:00 PM,10:14:00 PM
97,Liza Del Villar,,F4150,09:20:00 AM,12:57:00 PM,10:17:00 PM
2939,Marla Ricondo,,F5199,08:16:00 AM,02:02:00 PM,10:18:00 PM
18,Ashley Arroyos,,F2130,08:43:00 AM,01:36:00 PM,10:19:00 PM
2966,John Morris,,M3140,08:26:00 AM,01:55:00 PM,10:21:00 PM
267,Joseph Ley,,M5199,08:43:00 AM,01:40:00 PM,10:23:00 PM
407,Karen Rodriguez,,F2130,07:56:00 AM,02:29:00 PM,10:25:00 PM
25,Sandra Ballesteros,,F3140,09:26:00 AM,12:59:00 PM,10:25:00 PM
203,Corina Harrington,,F4150,09:06:00 AM,01:20:00 PM,10:26:00 PM
124,Jane Esteves,,F4150,08:37:00 AM,01:51:00 PM,10:28:00 PM
450,Bob Sims,,M5199,07:56:00 AM,02:34:00 PM,10:30:00 PM
241,Marshall Johnson,,M4150,08:46:00 AM,01:44:00 PM,10:30:00 PM
366,Thomas Ponce,,M3140,08:06:00 AM,02:24:00 PM,10:31:00 PM
200,Troy Haby,,M5199,09:18:00 AM,01:13:00 PM,10:31:00 PM
423,Cynthia Samudio,,F4150,09:44:00 AM,12:50:00 PM,10:35:00 PM
140,Tom Flournoy,,M5199,08:01:00 AM,02:35:00 PM,10:36:00 PM
22,Periasamy Arulmani,,M5199,08:27:00 AM,02:15:00 PM,10:42:00 PM
462,Grace Spell,,F4150,09:05:00 AM,01:42:00 PM,10:48:00 PM
412,Tara Rowe,,F2130,08:27:00 AM,02:21:00 PM,10:48:00 PM
416,David Salazar,,M4150,08:54:00 AM,01:54:00 PM,10:49:00 PM
281,Laura Lozano,,F3140,09:46:00 AM,01:05:00 PM,10:51:00 PM
179,Jasmine Gonzales,,F2130,08:16:00 AM,02:35:00 PM,10:51:00 PM
170,Jennifer Gold,,F4150,09:07:00 AM,01:43:00 PM,10:51:00 PM
46,Louis Brochu,,M5199,09:28:00 AM,01:24:00 PM,10:52:00 PM
489,Rob Trippet,,M5199,08:50:00 AM,02:02:00 PM,10:52:00 PM
2984,Peter Ray,,M5199,09:07:00 AM,01:48:00 PM,10:56:00 PM
162,Kathryn Garza,,F2130,08:50:00 AM,02:11:00 PM,11:02:00 PM
48,Jane Broumley,,F4150,07:52:00 AM,03:12:00 PM,11:04:00 PM
436,Mary Sauseda,,F2130,09:14:00 AM,01:51:00 PM,11:05:00 PM
161,Joshua Garza,,M3140,08:44:00 AM,02:28:00 PM,11:13:00 PM
344,Andrea Ortega,,F3140,08:29:00 AM,02:46:00 PM,11:15:00 PM
NO,FN LN,,DIVISION,RUN,CLIMB,TIME
264,Ariana Lewis,,F2130,09:33:00 AM,01:41:00 PM,11:15:00 PM
395,Sonya Rios,,F3140,07:50:00 AM,03:28:00 PM,11:19:00 PM
318,Henry Montez,,M4150,08:38:00 AM,02:41:00 PM,11:19:00 PM
424,Jesse Samudio,,M4150,09:49:00 AM,01:34:00 PM,11:23:00 PM
403,Albert Rodriguez,,M4150,09:49:00 AM,01:36:00 PM,11:25:00 PM
265,Kristofer Lewis,,M2130,09:37:00 AM,01:48:00 PM,11:25:00 PM
211,Erik Hernandez,,M2130,08:21:00 AM,03:05:00 PM,11:26:00 PM
372,Veronica Quintero,,F4150,08:19:00 AM,03:14:00 PM,11:34:00 PM
8,Heather Anderson,,F4150,09:18:00 AM,02:22:00 PM,11:40:00 PM
47,Terry Brosig,,F4150,08:33:00 AM,03:07:00 PM,11:40:00 PM
164,Bryan Gerard,,M5199,09:25:00 AM,02:15:00 PM,11:41:00 PM
166,Steve Gilbert,,M5199,10:17:00 AM,01:23:00 PM,11:41:00 PM
61,Armando Campos,,M2130,08:59:00 AM,02:45:00 PM,11:45:00 PM
316,Kristin Monahan,,F2130,08:54:00 AM,02:55:00 PM,11:50:00 PM
69,Bobbie Castaneda,,F3140,09:14:00 AM,02:37:00 PM,11:52:00 PM
72,Mark Castillo,,M3140,08:40:00 AM,03:12:00 PM,11:52:00 PM
492,Allysa Valerio,,F2130,08:58:00 AM,02:54:00 PM,11:53:00 PM
399,Meghan Robinson,,F3140,08:48:00 AM,03:06:00 PM,11:55:00 PM
484,Eva Tobias,,F5199,10:16:00 AM,01:40:00 PM,11:56:00 PM
2931,Rosie Flores,,F5199,09:13:00 AM,02:43:00 PM,11:56:00 PM
394,Colette Riddle,,F3140,08:27:00 AM,03:29:00 PM,11:57:00 PM
