Tower Climb & Run--San Antonio 2015
2015-2-7
http://www.cff.org/Chapters/lonestar/index.cfm?id=25708&event=25708
150
330,Alicia MARTINEZ,,F,536,00:28:37.827,00:07:16.463,8:33 min/m,00:21:21.363,33.27 stair/min
332,Savina BAEZ,,F,520,00:28:48.653,00:08:57.690,10:32 min/m,00:19:50.963,33.06 stair/min
334,Katrina STANIGAR,,F,455,00:28:56.230,00:09:46.237,11:29 min/m,00:19:09.993,32.90 stair/min
336,Jeanette FLOURNOY,,F,695,00:29:01.973,00:09:09.507,10:46 min/m,00:19:52.467,32.81 stair/min
337,Gabriella ROMICK,,F,506,00:29:17.953,00:09:39.577,11:21 min/m,00:19:38.377,32.51 stair/min
338,Anamaria RIVERA,,F,864,00:29:19.237,00:09:28.703,11:09 min/m,00:19:50.533,32.47 stair/min
339,Yvette GUTIERREZ,,F,720,00:29:30.627,00:10:10.480,11:58 min/m,00:19:20.147,32.27 stair/min
340,Lisa Marie BAROCAS,,F,539,00:29:31.693,00:09:19.017,10:57 min/m,00:20:12.677,32.25 stair/min
341,Gracie GARZA,,F,403,00:29:38.463,00:08:43.483,10:15 min/m,00:20:54.980,32.13 stair/min
342,Aimee HALLGREN,,F,721,00:29:39.290,00:09:27.637,11:07 min/m,00:20:11.653,32.11 stair/min
344,Patricia GONZALEZ,,F,580,00:29:56.090,00:09:05.687,10:41 min/m,00:20:50.403,31.80 stair/min
345,Monica VERTIZ,,F,817,00:29:59.333,00:10:03.510,11:50 min/m,00:19:55.823,31.75 stair/min
346,Andrea GONZALES,,F,712,00:29:59.713,00:10:03.273,11:49 min/m,00:19:56.440,31.75 stair/min
348,Lyssa MEHALL,,F,756,00:30:04.543,00:10:40.373,12:33 min/m,00:19:24.170,31.66 stair/min
349,Francine GAMEZ,,F,699,00:30:17.470,00:09:24.927,11:04 min/m,00:20:52.543,31.44 stair/min
351,Ximena HUERTA-MEDINA,,F,732,00:30:23.487,00:10:22.620,12:12 min/m,00:20:00.867,31.33 stair/min
352,Christina MATA,,F,752,00:30:28.077,00:10:22.457,12:12 min/m,00:20:05.620,31.25 stair/min
353,Daniela MANUEL,,F,868,00:30:33.493,00:10:34.370,12:26 min/m,00:19:59.123,31.16 stair/min
354,Laura SCHMIT,,F,530,00:30:35.090,00:09:53.320,11:38 min/m,00:20:41.770,31.13 stair/min
356,Margarita FARIAS,,F,688,00:30:38.200,00:09:53.817,11:38 min/m,00:20:44.383,31.08 stair/min
357,Jessica BARRERA,,F,494,00:30:58.393,00:09:42.217,11:24 min/m,00:21:16.177,30.74 stair/min
358,Carmen LEAL,,F,620,00:31:04.853,00:09:17.353,10:55 min/m,00:21:47.500,30.64 stair/min
359,Jan SCOTT,,F,407,00:31:22.090,00:09:54.330,11:39 min/m,00:21:27.760,30.35 stair/min
360,Latrenda WARE,,F,456,00:31:35.340,00:09:32.667,11:13 min/m,00:22:02.673,30.14 stair/min
361,Deanna COLEGATE,,F,665,00:32:03.173,00:11:58.163,14:04 min/m,00:20:05.010,29.70 stair/min
362,Gema MALDONADO,,F,570,00:32:46.710,00:11:10.293,13:08 min/m,00:21:36.417,29.05 stair/min
364,Jennifer CRYBLSKEY,,F,670,00:33:01.017,00:17:58.487,21:08 min/m,00:15:02.530,28.83 stair/min
366,Brenda KELLING,,F,582,00:34:04.373,00:12:20.797,14:31 min/m,00:21:43.577,27.95 stair/min
367,Sandra ESPINOZA,,F,682,00:34:47.297,00:10:30.247,12:21 min/m,00:24:17.050,27.37 stair/min
370,Nancie WOLF,,F,822,00:35:51.903,00:11:01.483,12:58 min/m,00:24:50.420,26.56 stair/min
371,Cristina OVALLE,,F,406,00:36:14.370,00:07:38.953,8:59 min/m,00:28:35.417,26.27 stair/min
372,Linda HINDS,,F,535,00:36:57.447,00:10:43.570,12:37 min/m,00:26:13.877,25.76 stair/min
374,Joshua GARCIA,,F,609,00:37:06.593, ,32:33 min/m,00:09:26.177,25.66 stair/min
377,Sylvia RODRIGUEZ,,F,629,00:43:49.557, ,31:34 min/m,00:16:59.240,21.73 stair/min
378,Keary LAMBRECHT,,F,617,00:43:51.357, ,31:33 min/m,00:17:02.083,21.71 stair/min
379,Ruby A. GUARNERO,,F,716,01:00:50.223, ,44:42 min/m,00:22:49.983,1142.40 stair/min
